Mod:Item:MetaData, Localized Name
biomesoplenty:flower_0:4, Blue Hydrangea
biomesoplenty:flower_0:5, Orange Cosmos
biomesoplenty:flower_0:6, Pink Dafodil
biomesoplenty:flower_0:7, Wildflower
biomesoplenty:flower_0:8, Violet
biomesoplenty:flower_0:9, White Anemone
biomesoplenty:flower_0:10, Enderlotus
biomesoplenty:flower_0:11, Bromeliad
biomesoplenty:flower_0:12, Wilted Lily
biomesoplenty:flower_0:13, Pink Hibiscus
biomesoplenty:flower_0:14, Lily of the Valley
biomesoplenty:flower_0:15, Burning Blossom
biomesoplenty:flower_1:0, Lavender
biomesoplenty:flower_1:1, Goldenrod
biomesoplenty:flower_1:2, Bluebells
biomesoplenty:flower_1:3, Miner's Delight
biomesoplenty:flower_1:4, Icy Iris
biomesoplenty:flower_1:5, Rose
biomesoplenty:ivy:0, Ivy
biomesoplenty:willow_vine:0, Willow Vine
biomesoplenty:terrarium:0, Fern Terrarium
biomesoplenty:terrarium:1, Mushroom Terrarium
biomesoplenty:terrarium:2, Cactus Terrarium
biomesoplenty:terrarium:3, Flax Terrarium
biomesoplenty:terrarium:4, Flower Terrarium
biomesoplenty:terrarium:5, Koru Terrarium
biomesoplenty:terrarium:6, Bamboo Terrarium
biomesoplenty:terrarium:7, Beach Terrarium
biomesoplenty:terrarium:8, Glowshroom Terrarium
biomesoplenty:terrarium:9, Dead Terrarium
biomesoplenty:terrarium:10, Mystic Terrarium
biomesoplenty:terrarium:11, Ominous Terrarium
biomesoplenty:terrarium:12, Wasteland Terrarium
biomesoplenty:terrarium:13, Origin Terrarium
biomesoplenty:terrarium:14, Nether Terrarium
biomesoplenty:terrarium:15, Ender Terrarium
biomesoplenty:jar_filled:0, Honey Jar
biomesoplenty:jar_filled:1, Blue Fire Jar
biomesoplenty:jar_empty, Empty Jar
biomesoplenty:boat_sacred_oak, Sacred Oak Boat
biomesoplenty:boat_cherry, Cherry Boat
biomesoplenty:boat_umbran, Umbran Boat
biomesoplenty:boat_fir, Fir Boat
biomesoplenty:boat_ethereal, Ethereal Boat
biomesoplenty:boat_magic, Magic Boat
biomesoplenty:boat_mangrove, Mangrove Boat
biomesoplenty:boat_palm, Palm Boat
biomesoplenty:boat_redwood, Redwood Boat
biomesoplenty:boat_willow, Willow Boat
biomesoplenty:boat_pine, Pine Boat
biomesoplenty:boat_hellbark, Hellbark Boat
biomesoplenty:boat_jacaranda, Jacaranda Boat
biomesoplenty:boat_mahogany, Mahogany Boat
biomesoplenty:boat_ebony, Ebony Boat
biomesoplenty:boat_eucalyptus, Eucalyptus Boat
biomesoplenty:biome_finder, Biome Finder
biomesoplenty:record_wanderer, Music Disc
biomesoplenty:mudball, Mud Ball
biomesoplenty:mud_brick, Mud Brick
biomesoplenty:ash, Pile of Ashes
biomesoplenty:fleshchunk, Chunk of Flesh
biomesoplenty:gem:0, Ender Amethyst
biomesoplenty:gem:1, Ruby
biomesoplenty:gem:2, Peridot
biomesoplenty:gem:3, Topaz
biomesoplenty:gem:4, Tanzanite
biomesoplenty:gem:5, Malachite
biomesoplenty:gem:6, Sapphire
biomesoplenty:gem:7, Amber
biomesoplenty:terrestrial_artifact, Terrestrial Artifact
biomesoplenty:crystal_shard, Celestial Crystal Shard
biomesoplenty:biome_essence, Biome Essence
biomesoplenty:berries, Berry
biomesoplenty:pear, Pear
biomesoplenty:peach, Peach
biomesoplenty:persimmon, Persimmon
biomesoplenty:honeycomb, Empty Honeycomb
biomesoplenty:filled_honeycomb, Filled Honeycomb
biomesoplenty:shroompowder, Shroom Powder
biomesoplenty:ricebowl, Bowl of Rice
biomesoplenty:blue_dye, Blue Dye
biomesoplenty:brown_dye, Brown Dye
biomesoplenty:green_dye, Green Dye
biomesoplenty:white_dye, White Dye
biomesoplenty:black_dye, Black Dye
biomesoplenty:earth, Earth
sonarcore:reinforcedstoneblock, Reinforced Stone
sonarcore:reinforcedstonestairs, Reinforced Stone Stairs
sonarcore:reinforcedstonefence, Reinforced Stone Fence
sonarcore:reinforcedstonegate, Reinforced Stone Gate
sonarcore:reinforcedstonebrick, Reinforced Stone Brick
sonarcore:reinforcedstonebrickstairs, Reinforced Stone Brick Stairs
sonarcore:reinforcedstonebrickfence, Reinforced Stone Brick Fence
sonarcore:reinforcedstonebrickgate, Reinforced Stone Brick Gate
sonarcore:reinforceddirtblock, Reinforced Dirt
sonarcore:reinforceddirtstairs, Reinforced Dirt Stairs
sonarcore:reinforceddirtfence, Reinforced Dirt Fence
sonarcore:reinforceddirtgate, Reinforced Dirt Gate
sonarcore:reinforceddirtbrick, Reinforced Dirt Brick
sonarcore:reinforceddirtbrickstairs, Reinforced Dirt Brick Stairs
sonarcore:reinforceddirtbrickfence, Reinforced Dirt Brick Fence
sonarcore:reinforceddirtbrickgate, Reinforced Dirt Brick Gate
sonarcore:stablestone_normal, Stable Stone
sonarcore:stablestonerimmed_normal, Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_normal, Rimmed Black Stable Stone
sonarcore:stablestone_black, Black Stable Stone
sonarcore:stablestonerimmed_black, Black Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_black, Black Rimmed Black Stable Stone
sonarcore:stablestone_blue, Blue Stable Stone
sonarcore:stablestonerimmed_blue, Blue Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_blue, Blue Rimmed Black Stable Stone
sonarcore:stablestone_brown, Brown Stable Stone
sonarcore:stablestonerimmed_brown, Brown Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_brown, Brown Rimmed Black Stable Stone
sonarcore:stablestone_cyan, Cyan Stable Stone
sonarcore:stablestonerimmed_cyan, Cyan Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_cyan, Cyan Rimmed Black Stable Stone
sonarcore:stablestone_green, Green Stable Stone
sonarcore:stablestonerimmed_green, Green Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_green, Green Rimmed Black Stable Stone
sonarcore:stablestone_lightblue, Light Blue Stable Stone
sonarcore:stablestonerimmed_lightblue, Light Blue Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_lightblue, Light Blue Rimmed Black Stable Stone
sonarcore:stablestone_lightgrey, Light Stable Stone
sonarcore:stablestonerimmed_lightgrey, Light Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_lightgrey, Light Rimmed Black Stable Stone
sonarcore:stablestone_lime, Lime Stable Stone
sonarcore:stablestonerimmed_lime, Lime Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_lime, Lime Rimmed Black Stable Stone
sonarcore:stablestone_magenta, Magenta Stable Stone
sonarcore:stablestonerimmed_magenta, Magenta Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_magenta, Magenta Rimmed Black Stable Stone
sonarcore:stablestone_orange, Orange Stable Stone
sonarcore:stablestonerimmed_orange, Orange Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_orange, Orange Rimmed Black Stable Stone
sonarcore:stablestone_pink, Pink Stable Stone
sonarcore:stablestonerimmed_pink, Pink Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_pink, Pink Rimmed Black Stable Stone
sonarcore:stablestone_plain, Plain Stable Stone
sonarcore:stablestonerimmed_plain, Plain Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_plain, Plain Rimmed Black Stable Stone
sonarcore:stablestone_purple, Purple Stable Stone
sonarcore:stablestonerimmed_purple, Purple Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_purple, Purple Rimmed Black Stable Stone
sonarcore:stablestone_red, Red Stable Stone
sonarcore:stablestonerimmed_red, Red Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_red, Red Rimmed Black Stable Stone
sonarcore:stablestone_yellow, Yellow Stable Stone
sonarcore:stablestonerimmed_yellow, Yellow Rimmed Stable Stone
sonarcore:stablestoneblackrimmed_yellow, Yellow Rimmed Black  Stable Stone
sonarcore:stableglass, Stable Glass
sonarcore:clearstableglass, Clear Stable Glass
calculator:flawlessglass, Flawless Glass
calculator:purifiedobsidian, Purified Obsidian
calculator:powercube, Power Cube
calculator:advancedpowercube, Advanced Power Cube
calculator:creativepowercube, Creative Power Cube
calculator:atomiccalculator, Atomic Calculator
calculator:dynamiccalculator, Dynamic Calculator
calculator:moduleworkstation, Module Workstation
calculator:reinforcedfurnace, Reinforced Furnace
calculator:reinforcedchest, Reinforced Chest
calculator:stoneseparator, Stone Separator
calculator:algorithmseparator, Algorithm Separator
calculator:hungerprocessor, Hunger Processor
calculator:healthprocessor, Health Processor
calculator:amethystpiping, Amethyst Piping
calculator:tanzanitepiping, Tanzanite Piping
calculator:dockingstation, Docking Station
calculator:atomicmultiplier, Atomic Multiplier
calculator:extractionchamber, Extraction Chamber
calculator:restorationchamber, Restoration Chamber
calculator:reassemblychamber, Reassembly Chamber
calculator:precisionchamber, Precision Chamber
calculator:processingchamber, Processing Chamber
calculator:analysingchamber, Analysing Chamber
calculator:storagechamber, Storage Chamber
calculator:fabricationchamber, Fabrication Chamber
calculator:basicgreenhouse, Basic Greenhouse
calculator:advancedgreenhouse, Advanced Greenhouse
calculator:flawlessgreenhouse, Flawless Greenhouse
calculator:co2generator, Carbon Dioxide Generator
calculator:calculatorlocator, Calculator Locator
calculator:calculatorplug, Calculator Plug
calculator:conductormast, Conductor Mast
calculator:conductormastblock, Conductor Mast
calculator:weatherstation, Weather Station
calculator:weatherstationblock, Weather Station
calculator:transmitter, Transmitter
calculator:transmitterblock, Transmitter
calculator:starchextractor, Starch Extractor
calculator:redstoneextractor, Redstone Extractor
calculator:glowstoneextractor, Glowstone Extractor
calculator:handcrankedgenerator, Hand Cranked Generator
calculator:crankhandle, Crank Handle
calculator:magneticflux, Magnetic Flux
calculator:weathercontroller, Weather Controller
calculator:rainsensor, Rain Sensor
calculator:stoneassimilator, Stone Assimilator
calculator:algorithmassimilator, Algorithm Assimilator
calculator:gaslanternoff, Gas Lantern
calculator:gaslanternon, Gas Lantern
calculator:lantern, Lantern
calculator:scarecrow, Scarecrow
calculator:scarecrowblock, Scarecrow
calculator:amethystlog, Amethyst Wood
calculator:amethystplanks, Amethyst Planks
calculator:amethyststairs, Amethyst Stairs
calculator:amethystfence, Amethyst Fence
calculator:amethystleaves, Amethyst Leaves
calculator:amethystsapling, Amethyst Sapling
calculator:tanzanitelog, Tanzanite Wood
calculator:tanzaniteplanks, Tanzanite Planks
calculator:tanzanitestairs, Tanzanite Stairs
calculator:tanzanitefence, Tanzanite Fence
calculator:tanzaniteleaves, Tanzanite Leaves
calculator:tanzanitesapling, Tanzanite Sapling
calculator:pearlog, Pear Wood
calculator:pearplanks, Pear Planks
calculator:pearstairs, Pear Stairs
calculator:pearfence, Pear Fence
calculator:pearleaves, Pear Leaves
calculator:pearsapling, Pear Sapling
calculator:diamondlog, Diamond Wood
calculator:diamondplanks, Diamond Planks
calculator:diamondstairs, Diamond Stairs
calculator:diamondfence, Diamond Fence
calculator:diamondleaves, Diamond Leaves
calculator:diamondsapling, Diamond Sapling
calculator:calculatorscreenblock, tile.CalculatorScreenBlock.name
calculator:material:0, Amethyst Block
calculator:material:1, Tanzanite Block
calculator:material:2, Enriched Gold Block
calculator:material:3, Reinforced Iron Block
calculator:material:4, Weakened Diamond Block
calculator:material:5, Flawless Diamond Block
calculator:material:6, Fire Diamond Block
calculator:material:7, Electric Diamond Block
calculator:material:8, End Diamond Block
calculator:material:9, Redstone Ingot Block
calculator:cropbroccoli, Broccoli Plant
calculator:cropprunae, Prunae Plant
calculator:cropfiddledew, Fiddledew Plant
calculator:infocalculator, Info Calculator
calculator:calculator, Calculator
calculator:craftingcalculator, Crafting Calculator
calculator:scientificcalculator, Scientific Calculator
calculator:flawlesscalculator, Flawless Calculator
calculator:storagemodule, Storage Module
calculator:warpmodule, Warp Module
calculator:jumpmodule, Jump Module
calculator:hungermodule, Hunger Module
calculator:healthmodule, Health Module
calculator:nutritionmodule, Nutrition Module
calculator:terrainmodule, Basic Terrain Module
calculator:advancedterrainmodule, Advanced Terrain Module
calculator:energymodule, Energy Module
calculator:locatormodule, Locator Module
calculator:soil, Soil
calculator:smallstone, Small Stone
calculator:speedupgrade, Speed Upgrade
calculator:energyupgrade, Energy Upgrade
calculator:voidupgrade, Void Upgrade
calculator:transferupgrade, Transfer Upgrade
calculator:calculatorscreen, Calculator Screen
calculator:calculatorassembly, Calculator Assembly
calculator:advancedassembly, Advanced Assembly
calculator:atomicmodule, Atomic Module
calculator:atomicassembly, Atomic Assembly
calculator:flawlessassembly, Flawless Assembly
calculator:atomicbinder, Atomic Binder
calculator:wrench, Wrench
calculator:sickle, Sickle
calculator:obsidiankey, Obsidian Key
calculator:reinforcedsword, Reinforced Sword
calculator:enrichedgoldsword, Enriched Gold Sword
calculator:reinforcedironsword, Reinforced Iron Sword
calculator:redstonesword, Redstone Sword
calculator:weakeneddiamondsword, Weakened Diamond Sword
calculator:flawlessdiamondsword, Flawless Diamond Sword
calculator:firediamondsword, Fire Diamond Sword
calculator:electricsword, Electric Sword
calculator:endforgedsword, End Forged Sword
calculator:reinforcedpickaxe, Reinforced Pickaxe
calculator:enrichedgoldpickaxe, Enriched Gold Pickaxe
calculator:reinforcedironpickaxe, Reinforced Iron Pickaxe
calculator:redstonepickaxe, Redstone Pickaxe
calculator:weakeneddiamondpickaxe, Weakened Diamond Pickaxe
calculator:flawlessdiamondpickaxe, Flawless Diamond Pickaxe
calculator:firediamondpickaxe, Fire Diamond Pickaxe
calculator:electricpickaxe, Electric Pickaxe
calculator:endforgedpickaxe, End Forged Pickaxe
calculator:reinforcedaxe, Reinforced Axe
calculator:enrichedgoldaxe, Enriched Gold Axe
calculator:reinforcedironaxe, Reinforced Iron Axe
calculator:redstoneaxe, Redstone Axe
calculator:weakeneddiamondaxe, Weakened Diamond Axe
calculator:flawlessdiamondaxe, Flawless Diamond Axe
calculator:firediamondaxe, Fire Diamond Axe
calculator:electricaxe, Electric Axe
calculator:endforgedaxe, End Forged Axe
calculator:reinforcedshovel, Reinforced Shovel
calculator:enrichedgoldshovel, Enriched Gold Shovel
calculator:reinforcedironshovel, Reinforced Iron Shovel
calculator:redstoneshovel, Redstone Shovel
calculator:weakeneddiamondshovel, Weakened Diamond Shovel
calculator:flawlessdiamondshovel, Flawless Diamond Shovel
calculator:firediamondshovel, Fire Diamond Shovel
calculator:electricshovel, Electric Shovel
calculator:endforgedshovel, End Forged Shovel
calculator:reinforcedhoe, Reinforced Hoe
calculator:enrichedgoldhoe, Enriched Gold Hoe
calculator:reinforcedironhoe, Reinforced Iron Hoe
calculator:redstonehoe, Redstone Hoe
calculator:weakeneddiamondhoe, Weakened Diamond Hoe
calculator:flawlessdiamondhoe, Flawless Diamond Hoe
calculator:firediamondhoe, Fire Diamond Hoe
calculator:electrichoe, Electric Hoe
calculator:endforgedhoe, End Forged Hoe
calculator:enrichedgold,  Enriched Gold
calculator:enrichedgoldingot,  Enriched Gold Ingot
calculator:reinforcedironingot, Reinforced Iron Ingot
calculator:redstoneingot, Redstone Ingot
calculator:weakeneddiamond, Weakened Diamond
calculator:flawlessdiamond, Flawless Diamond
calculator:firediamond, Fire Diamond
calculator:electricdiamond, Electric Diamond
calculator:enddiamond, End Diamond
calculator:largeamethyst, Large Amethyst
calculator:smallamethyst, Amethyst
calculator:shardamethyst, Amethyst Shard
calculator:largetanzanite, Large Tanzanite
calculator:smalltanzanite, Tanzanite
calculator:shardtanzanite, Tanzanite Shard
calculator:broccoliseeds, Broccoli Seeds
calculator:prunaeseeds, Prunae Seeds
calculator:fiddledewfruit, Fiddledew Fruit
calculator:broccoli, Broccoli
calculator:pear, Pear
calculator:rottenpear, Rotten Pear
calculator:cookedbroccoli, Cooked Broccoli
calculator:coaldust, Coal Dust
calculator:enrichedcoal, Enriched Coal
calculator:purifiedcoal, Purified Coal
calculator:firecoal, Fire Coal
calculator:controlledfuel, Controlled Fuel
calculator:grenadecasing, Grenade Casing
calculator:babygrenade, Baby Grenade
calculator:grenade, Grenade
calculator:circuitboard:0, Circuit 1
calculator:circuitboard:1, Circuit 2
calculator:circuitboard:2, Circuit 3
calculator:circuitboard:3, Circuit 4
calculator:circuitboard:4, Circuit 5
calculator:circuitboard:5, Circuit 6
calculator:circuitboard:6, Circuit 7
calculator:circuitboard:7, Circuit 8
calculator:circuitboard:8, Circuit 9
calculator:circuitboard:9, Circuit 10
calculator:circuitboard:10, Circuit 11
calculator:circuitboard:11, Circuit 12
calculator:circuitboard:12, Circuit 13
calculator:circuitboard:13, Circuit 14
calculator:circuitdamaged:0, Damaged Circuit 1
calculator:circuitdamaged:1, Damaged Circuit 2
calculator:circuitdamaged:2, Damaged Circuit 3
calculator:circuitdamaged:3, Damaged Circuit 4
calculator:circuitdamaged:4, Damaged Circuit 5
calculator:circuitdamaged:5, Damaged Circuit 6
calculator:circuitdamaged:6, Damaged Circuit 7
calculator:circuitdamaged:7, Damaged Circuit 8
calculator:circuitdamaged:8, Damaged Circuit 9
calculator:circuitdamaged:9, Damaged Circuit 10
calculator:circuitdamaged:10, Damaged Circuit 11
calculator:circuitdamaged:11, Damaged Circuit 12
calculator:circuitdamaged:12, Damaged Circuit 13
calculator:circuitdamaged:13, Damaged Circuit 14
calculator:circuitdirty:0, Dirty Circuit 1
calculator:circuitdirty:1, Dirty Circuit 2
calculator:circuitdirty:2, Dirty Circuit 3
calculator:circuitdirty:3, Dirty Circuit 4
calculator:circuitdirty:4, Dirty Circuit 5
calculator:circuitdirty:5, Dirty Circuit 6
calculator:circuitdirty:6, Dirty Circuit 7
calculator:circuitdirty:7, Dirty Circuit 8
calculator:circuitdirty:8, Dirty Circuit 9
calculator:circuitdirty:9, Dirty Circuit 10
calculator:circuitdirty:10, Dirty Circuit 11
calculator:circuitdirty:11, Dirty Circuit 12
calculator:circuitdirty:12, Dirty Circuit 13
calculator:circuitdirty:13, Dirty Circuit 14
chickenchunks:chunk_loader:0, Chunk Loader
chickenchunks:chunk_loader:1, Spot Loader
draconicadditions:inert_potato_helm, Inert Potato Helmet
draconicadditions:inert_potato_chest, Inert Potato Chestplate
draconicadditions:inert_potato_legs, Inert Potato Leggings
draconicadditions:inert_potato_boots, Inert Potato Boots
draconicadditions:chaotic_energy_core, Chaotic Energy Core
draconicadditions:chaos_stabilizer_core, Chaos Stabilizer Core
draconicadditions:armor_generator, Armor Generator
draconicadditions:chaotic_armor_generator, Chaotic Armor Generator
draconicadditions:item_drainer, Item Drainer
draconicadditions:chaos_liquefier, Chaos Liquefier
draconicadditions:chaotic_staff_of_power, Chaotic Staff of Power
draconicadditions:chaos_container, Chaos Container
draconicadditions:portable_wired_charger:0, Portable Wired Basic Charger
draconicadditions:portable_wired_charger:1, Portable Wired Wyvern Charger
draconicadditions:portable_wired_charger:2, Portable Wired Draconic Charger
draconicadditions:portable_wired_charger:3, Portable Wired Chaotic Charger
draconicadditions:infused_potato_helm, Infused Potato Helmet
draconicadditions:infused_potato_chest, Infused Potato Chestplate
draconicadditions:infused_potato_legs, Infused Potato Leggings
draconicadditions:infused_potato_boots, Infused Potato Boots
draconicadditions:potato_helm, Energized Potato Helmet
draconicadditions:potato_chest, Energized Potato Chestplate
draconicadditions:potato_legs, Energized Potato Leggings
draconicadditions:potato_boots, Energized Potato Boots
draconicadditions:chaotic_helm, Chaotic Helmet
draconicadditions:chaotic_chest, Chaotic Chestplate
draconicadditions:chaotic_legs, Chaotic Leggings
draconicadditions:chaotic_boots, Chaotic Boots
draconicadditions:basic_shield_necklace, Basic Necklace of Shielding
draconicadditions:wyvern_shield_necklace, Wyvern Necklace of Shielding
draconicadditions:draconic_shield_necklace, Draconic Necklace of Shielding
draconicadditions:overload_belt, Draconic Belt of Overloading
draconicadditions:vampiric_shirt, Draconic Undershirt of Self-Siphoning
draconicadditions:inertia_cancel_ring, Ring of Inertia Cancellation
enderstorage:ender_storage:0, Ender Chest
enderstorage:ender_storage:1, Ender Tank
enderstorage:ender_pouch, Ender Pouch
extracells:part.base:0, ME Fluid Export Bus
extracells:part.base:1, ME Fluid Import Bus
extracells:part.base:2, ME Fluid Storage Bus
extracells:part.base:3, ME Fluid Terminal
extracells:part.base:4, ME Fluid Level Emitter
extracells:part.base:5, ME Fluid Annihilation Plane
extracells:part.base:6, ME Fluid Formation Plane
extracells:part.base:7, ME Drive Fixture
extracells:part.base:8, ME Energy Cell Fixture
extracells:part.base:9, ME Fluid Interface
extracells:part.base:10, ME Fluid Storage Monitor
extracells:part.base:11, ME Fluid Conversion Monitor
extracells:part.base:12, ME Ore Dictionary Export Bus
extracells:part.base:13, ME Gas Import Bus
extracells:part.base:14, ME Gas Export Bus
extracells:part.base:15, ME Gas Terminal
extracells:part.base:16, ME Gas Storage Bus
extracells:part.base:17, ME Gas Level Emitter
extracells:part.base:18, ME Gas Storage Monitor
extracells:part.base:19, ME Gas Conversion Monitor
extracells:storage.fluid:0, ME 1k Fluid Storage Cell
extracells:storage.fluid:1, ME 4k Fluid Storage Cell
extracells:storage.fluid:2, ME 16k Fluid Storage Cell
extracells:storage.fluid:3, ME 64k Fluid Storage Cell
extracells:storage.fluid:4, ME 256k Fluid Storage Cell
extracells:storage.fluid:5, ME 1024k Fluid Storage Cell
extracells:storage.fluid:6, ME 4096k Fluid Storage Cell
extracells:storage.physical:0, ME 256k Storage Cell
extracells:storage.physical:1, ME 1024k Storage Cell
extracells:storage.physical:2, ME 4096k Storage Cell
extracells:storage.physical:3, ME 16384k Storage Cell
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.gas:0, ME 1k Gas Storage Cell
extracells:storage.gas:1, ME 4k Gas Storage Cell
extracells:storage.gas:2, ME 16k Gas Storage Cell
extracells:storage.gas:3, ME 64k Gas Storage Cell
extracells:storage.gas:4, ME 256k Gas Storage Cell
extracells:storage.gas:5, ME 1024k Gas Storage Cell
extracells:storage.gas:6, ME 4096k Gas Storage Cell
extracells:pattern.fluid:0, ME Fluid Pattern
extracells:pattern.fluid:0, ME Fluid Pattern: Water
extracells:pattern.fluid:0, ME Fluid Pattern: Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Gold
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Pigiron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Cobalt
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ardite
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Manyullyn
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Knightslime
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Aluminum Brass
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Brass
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Copper
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Tin
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Bronze
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Zinc
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lead
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Nickel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Silver
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Electrum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Steel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Aluminum
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Chlorine
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sulfur Dioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sulfur Trioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfuric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Hydrogen Chloride
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Ethylene
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sodium
extracells:pattern.fluid:0, ME Fluid Pattern: Brine
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Deuterium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Tritium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid D-T Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Lithium
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Water
extracells:pattern.fluid:0, ME Fluid Pattern: Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Canola Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Canola Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Crystallized Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Empowered Oil
extracells:pattern.fluid:0, ME Fluid Pattern: UU-Matter
extracells:pattern.fluid:0, ME Fluid Pattern: Construction Foam
extracells:pattern.fluid:0, ME Fluid Pattern: IC2 Coolant
extracells:pattern.fluid:0, ME Fluid Pattern: Creosote
extracells:pattern.fluid:0, ME Fluid Pattern: IC2 Hot Coolant
extracells:pattern.fluid:0, ME Fluid Pattern: Pahoehoe Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Biomass
extracells:pattern.fluid:0, ME Fluid Pattern: Biogas
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Water
extracells:pattern.fluid:0, ME Fluid Pattern: Superheated Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Hotspring Water
extracells:pattern.fluid:0, ME Fluid Pattern: Weed-Ex
extracells:pattern.fluid:0, ME Fluid Pattern: Air
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Water
extracells:pattern.fluid:0, ME Fluid Pattern: Creosote Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Liquifacted Coal
extracells:pattern.fluid:0, ME Fluid Pattern: Crude Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Naphtha
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Sap
extracells:pattern.fluid:0, ME Fluid Pattern: Syrup
extracells:pattern.fluid:0, ME Fluid Pattern: Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Tree Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Seed Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Biocrude
extracells:pattern.fluid:0, ME Fluid Pattern: Grassoline
extracells:pattern.fluid:0, ME Fluid Pattern: Mushroom Stew
extracells:pattern.fluid:0, ME Fluid Pattern: Essence of Knowledge
extracells:pattern.fluid:0, ME Fluid Pattern: Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Splash Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Lingering Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Destabilized Redstone
extracells:pattern.fluid:0, ME Fluid Pattern: Energized Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: Resonant Ender
extracells:pattern.fluid:0, ME Fluid Pattern: Blazing Pyrotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Gelid Cryotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Zephyrean Aerotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Tectonic Petrotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Primal Mana
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Platinum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Iridium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Invar
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Constantan
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Signalum
